sample_name
total_31_eIF3d_minusAux_minusHarr_8h_rep1
total_32_eIF3d_minusAux_minusHarr_8h_rep2
total_33_eIF3d_minusAux_minusHarr_8h_rep3
total_34_eIF3d_plusAux_minusHarr_8h_rep1
total_35_eIF3d_plusAux_minusHarr_8h_rep2
total_36_eIF3d_plusAux_minusHarr_8h_rep3
