sample_name
totalrna_4E_minus_rep1_01
totalrna_4E_minus_rep2_02
totalrna_4E_minus_rep3_03
totalrna_4E_plus_rep1_04
totalrna_4E_plus_rep2_05
totalrna_4E_plus_rep3_06
totalrna_4G1_minus_rep1_07
totalrna_4G1_minus_rep2_08
totalrna_4G1_minus_rep3_09
totalrna_4G1_plus_rep1_10
totalrna_4G1_plus_rep2_11
totalrna_4G1_plus_rep3_12
totalrna_4G2_minus_rep1_13
totalrna_4G2_minus_rep2_14
totalrna_4G2_minus_rep3_15
totalrna_4G2_plus_rep1_16
totalrna_4G2_plus_rep2_17
totalrna_4G2_plus_rep3_18
totalrna_4G3_minus_rep1_19
totalrna_4G3_minus_rep2_20
totalrna_4G3_minus_rep3_21
totalrna_4G3_plus_rep1_22
totalrna_4G3_plus_rep2_23
totalrna_4G3_plus_rep3_24
