sample_name
ribo_01_eIF3d_minusAux_minusHarr_4h_rep1_R1
ribo_02_eIF3d_minusAux_minusHarr_4h_rep2_R1
ribo_04_eIF3d_plusAux_minusHarr_4h_rep1_R1
ribo_05_eIF3d_plusAux_minusHarr_4h_rep2_R1
